project,commit_url,files_modified,found_in_both,vuln_commit,vuln_lines_added,vuln_lines_deleted,fix_commit,fix_lines_added,fix_lines_deleted,cve,cwe
curl,https://github.com/curl/curl/commit/5d0ba70e17bde74d9a9108c38558f6491d2b5c4d,src/tool_msgs.c,No,188a43a8fd7976b1379516ad65cc84120d7907ea,1,1,5d0ba70e17bde74d9a9108c38558f6491d2b5c4d,6,2,,
curl,https://github.com/bagder/curl/commit/79b9d5f1a42578f807a6c94914bc65cbaa304b6d,lib/http.c,No,0583e87ada7a3cfb10904ae4ab61b339582c5bd3,1,1,79b9d5f1a42578f807a6c94914bc65cbaa304b6d,7,1,CVE-2015-3148,CWE-284
curl,https://github.com/curl/curl/commit/8c7ee9083d0d719d0a77ab20d9cc2ae84eeea7f3,src/tool_operate.c,No,fae6fea209a2d4db1582f608bd8cc8000721733a,25,5,8c7ee9083d0d719d0a77ab20d9cc2ae84eeea7f3,2,2,CVE-2022-27778,CWE-706
curl,https://github.com/curl/curl/commit/620ea21410030a9977396b4661806bc187231b79,lib/transfer.c,No,08b8ef4e726ba10f45081ecda5b3cea788d3c839,6,1,620ea21410030a9977396b4661806bc187231b79,48,1,CVE-2022-27774,CWE-522
curl,https://github.com/curl/curl/commit/20f9dd6bae50b7223171b17ba7798946e74f877f,lib/fopen.c;lib/fopen.h;lib/Makefile.inc;lib/cookie.c;lib/curl_config.h.cmake;CMakeLists.txt;configure.ac,No,46f8911d3942dc06fdd67e9f6f3908982e5d2fb4,190,1,20f9dd6bae50b7223171b17ba7798946e74f877f,154,15,CVE-2022-32207,CWE-276
curl,https://github.com/curl/curl/commit/1b71bc532bde8621fd3260843f8197182a467ff2,lib/file.c,No,aeb32d059bc1e02993e4ca541d510fc8e3fd99bc,1,1,1b71bc532bde8621fd3260843f8197182a467ff2,4,2,CVE-2019-15601,
curl,https://github.com/curl/curl/commit/39ce47f219b09c380b81f89fe54ac586c8db6bde,lib/telnet.c,No,bbb71507b7bab52002f9b1e0880bed6a32834511,8,4,39ce47f219b09c380b81f89fe54ac586c8db6bde,1,1,CVE-2021-22898,CWE-200
curl,https://github.com/curl/curl/commit/3a09fbb7f264c67c438d01a30669ce325aa508e2,lib/content_encoding.c,No,6ecdf5136b52af747e7bda08db9a748256b1cd09,11,7,3a09fbb7f264c67c438d01a30669ce325aa508e2,9,0,CVE-2022-32206,CWE-770
curl,https://github.com/curl/curl/commit/7e92d12b4e6911f424678a133b19de670e183a59,lib/cookie.c,No,f8cb6c610a8e1576f1f615918a8b0a8fbd0e4e85,61,1,7e92d12b4e6911f424678a133b19de670e183a59,9,1,CVE-2022-27779,CWE-201
curl,https://github.com/curl/curl/commit/914aaab9153764ef8fa4178215b8ad89d3ac263a,lib/urlapi.c,No,5c7da89d404bf59c8dd82a001119a16d18365917,8,0,914aaab9153764ef8fa4178215b8ad89d3ac263a,2,2,CVE-2022-27780,CWE-918
